state,county,tract,NAME,pct_bach,median_income,total_pop,sex_ratio,pct_white,median_age,pct_no_car,pct_unemp,age_18_29,pct_age_18_29
17,031,807600,"Census Tract 8076, Cook County, Illinois",10.8,68815,6261,85.0,49.3,45.3,3.1,3.1,930,14.853857211308096
17,031,807900,"Census Tract 8079, Cook County, Illinois",26.0,105132,4052,105.4,68.1,47.8,2.7,2.5,387,9.550839091806514
17,031,808001,"Census Tract 8080.01, Cook County, Illinois",23.5,100549,3617,95.5,53.3,48.9,6.6,2.1,404,11.169477467514515
17,031,301701,"Census Tract 3017.01, Cook County, Illinois",2.0,29773,3943,95.2,72.7,31.5,25.1,7.4,479,12.148110575703779
17,031,301802,"Census Tract 3018.02, Cook County, Illinois",1.2,35925,3509,108.2,53.2,32.5,18.1,8.6,624,17.782844115132516
17,031,301702,"Census Tract 3017.02, Cook County, Illinois",0.9,39614,4387,118.7,48.3,28.2,17.8,6.1,884,20.15044449509916
17,031,301801,"Census Tract 3018.01, Cook County, Illinois",2.3,34427,3625,98.3,49.9,31.5,8.7,4.8,514,14.179310344827586
17,031,301803,"Census Tract 3018.03, Cook County, Illinois",2.0,32308,5011,109.5,57.7,30.1,20.7,5.2,1080,21.55258431450808
17,031,430101,"Census Tract 4301.01, Cook County, Illinois",6.1,29750,3118,97.5,2.9,38.5,39.5,12.5,516,16.549069916613213
17,031,430102,"Census Tract 4301.02, Cook County, Illinois",11.5,23740,3046,98.3,2.2,45.6,51.2,5.6,587,19.271175311884438
17,031,431301,"Census Tract 4313.01, Cook County, Illinois",5.4,21933,3580,68.2,2.4,29.1,40.9,13.8,847,23.65921787709497
17,031,431302,"Census Tract 4313.02, Cook County, Illinois",5.6,31377,4204,70.4,1.6,28.2,49.5,15.9,805,19.148430066603233
17,031,440101,"Census Tract 4401.01, Cook County, Illinois",1.7,21856,4105,80.4,1.8,33.0,47.6,14.0,669,16.297198538367844
17,031,440102,"Census Tract 4401.02, Cook County, Illinois",5.8,28393,3266,89.0,8.5,36.6,39.2,6.3,495,15.156154317207593
17,031,440202,"Census Tract 4402.02, Cook County, Illinois",10.0,30100,3213,67.1,0.4,46.0,23.3,6.6,503,15.655150949268595
17,031,460301,"Census Tract 4603.01, Cook County, Illinois",1.7,35845,3124,85.8,27.1,26.2,24.3,10.9,665,21.286811779769526
17,031,460302,"Census Tract 4603.02, Cook County, Illinois",3.0,27391,3483,74.3,4.0,31.3,32.5,16.3,647,18.575940281366638
17,031,836300,"Census Tract 8363, Cook County, Illinois",32.8,49167,1488,120.1,42.4,33.2,28.9,6.4,451,30.309139784946236
