TRACTCE,area_upr,residential_den,population_den,empoloyment_den,network_den,job_entropy,dist_to_tran,walkability
302204,1648.3013173,0.33750227159180707,6099.0,0.23310329446960235,3.7036484859637473,0.6381032153411278,734.93,9.777777777777779
302300,10055.000329884891,-0.863270965540206,10552.0,-1.3491030498780683,1.857775081336823,0.2755519843575273,329.5825,10.083333333333332
302301,172.822697189731,2.217334523304431,4111.0,3.9162801691363183,4.571972221788704,0.7665590749413914,305.775,15.833333333333334
302302,153.9094759,2.5570095823720527,5782.0,2.63964532127965,4.671012063895237,0.43360763046137174,177.3625,14.916666666666664
302400,6011.6677248000005,-0.10711808008993065,13595.0,0.1357881632156474,2.6916272057829658,0.698890981527918,476.6922222222222,13.833333333333332
302401,338.80894309999996,1.983699039291962,6734.0,3.1424502132988974,4.395065420296679,0.5577501191850047,266.078,14.866666666666665
302500,270.9368364,2.027118171954452,4326.0,2.8043759130104506,5.8553114959135915,0.6189950267873932,549.1875,15.458333333333334
302501,524.7445075661,0.5147351017521813,2682.0,0.3065699285313606,4.386184280983082,0.6469155560710853,496.885,14.916666666666666
302503,75.6805263,2.9880319533234543,4176.0,2.281479746295461,4.499039846726253,0.2537180512565059,451.95666666666665,12.666666666666666
302504,92.718518853402,2.8034547898850577,4297.0,2.7239021581831038,4.7928091236869514,0.3574754491008547,365.23,13.944444444444443
302505,131.672506663798,2.4924285367463512,4536.0,2.530029268163047,5.035096809440915,0.7094071611294218,194.91333333333333,17.555555555555557
302506,220.3898547,1.8380573737088677,3295.0,1.8538170122018178,4.827833111879755,0.16018829971571202,538.6833333333333,13.555555555555555
302600,378.1746892,2.0374545545152185,7596.0,2.1411590979461432,5.325406719557977,0.6400063966725644,311.5214285714286,16.642857142857142
302700,250.4788454,1.7194234553358938,4588.0,1.1992553273975866,5.397210748742309,0.6282532054752386,583.3866666666667,14.833333333333334
302702,1093.447152,0.688153098245012,4898.0,1.7951553377370555,4.043807175171755,0.6625299290620718,573.5500000000001,14.222222222222223
302704,1252.9654772,0.38913182898554727,5243.0,-1.1418038552935956,3.865508976191767,0.694608743812619,325.89,10.0
302705,702.3024309,0.8252680281092615,3882.0,0.2579809696771874,3.9116900042131286,0.6781644003140113,925.37,9.583333333333334
302706,1739.3250392,0.07617762813964789,4584.0,1.4559242275083024,3.9259052999207786,0.6625402253533476,700.06,9.444444444444445
302800,545.8174971999999,1.332536012088483,6616.0,2.7600196274917184,4.784353601909416,0.6903312566131452,482.22999999999996,14.666666666666666
302801,2397.1726935999995,-0.4648328692031982,3613.0,-0.9457860002859699,2.840315098962116,0.6812773702675128,628.99,7.9444444444444455
302802,3841.2325880999997,0.13535659055369925,9919.0,0.6605397682803275,3.3405484555895035,0.5158309841266939,792.6025,9.476190476190478
302805,1410.4831236999999,0.9199119147392589,7179.0,-1.142439982841839,3.7184586465730147,0.6552558915615903,500.2366666666667,10.416666666666668
302900,433.6993802,1.2055869512038173,4522.0,1.8375050455275588,4.982149568776343,0.7457089806490502,387.2475,16.666666666666664
302901,3503.96254553047,-0.16904311053800505,7413.0,-0.0727809737762243,3.19219608352527,0.48679013272611926,665.6466666666666,11.625000000000002
302902,3958.0570314,0.06052103720231465,10413.0,-0.07365605390346167,3.3687910422930254,0.5557647452805378,357.18666666666667,10.916666666666666
303000,2674.7597925756,0.0525226329840127,8974.0,0.3152415702695505,3.256577586568306,0.7253561727397232,308.726,15.888888888888891
303101,9202.266013599998,-1.0188827483616782,9701.0,-1.166532430146801,2.0795383890259944,0.5353615941419794,929.3966666666665,8.395833333333332
303102,7072.6378433,-0.31374774756223905,16106.0,-0.19665294317872004,2.9901315253501353,0.656548675699633,635.02,11.5
303201,12801.949457637711,-0.7028764334048109,21501.0,-0.3765517390677797,2.4851070371897706,0.6517738328826923,534.2133333333333,9.733333333333334
303202,1175.0452619000002,1.2004388205783036,11498.0,0.9136957554088017,5.262530176812098,0.6290546408687496,483.4725,12.75
303204,1462.8177709,0.832766186340681,9056.0,-0.2114660193082067,4.051436001423002,0.5713367914389341,1127.88,9.38888888888889
303301,3770.5791782762,-0.5096538589152937,6285.0,0.01328355061447196,2.755542226920934,0.6247828477840189,379.09,12.1
303302,6170.87186598046,-0.503163840985529,9186.0,-0.8067857349180866,2.658241460833515,0.6944534768402814,327.23499999999996,13.388888888888888
303400,4548.071582390461,-0.6080589602539651,7135.0,-0.4127632363155304,2.6217082916654286,0.5774418783603703,124.05,10.3
303500,324.62543694260796,1.6714690621728105,4860.0,1.9466236583366134,5.1856500948625674,0.8019230630209035,362.99666666666667,16.944444444444446
303501,6054.625529600001,-0.29852449339392834,11004.0,0.5338424561873324,3.1336840354901216,0.7029120176719263,1143.98,9.033333333333333
303600,425.170152,1.9988514868432408,7225.0,3.5100558939937265,5.1011573296464805,0.663447440695495,394.96166666666676,16.63888888888889
303602,984.0562858999999,0.3646141431564625,3596.0,-1.9080764748258816,3.457712958573658,0.45294334347385834,1001.82,9.833333333333334
